Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Estonia,6.698583333,6.258083333,6.401833333,5.14625,5.25225,6.165833333,4.5785,5.778333333,5.361416667,6.456833333,7.00875,5.973,6.211583333,5.662166667,5.940833333,6.001416667,6.531833333,6.830833333,7.267833333,6.061833333,5.043,6.865333333,5.486,6.96175
Ethiopia,23.37958333,23.41241667,23.2395,22.98875,23.20866667,23.3965,23.35858333,23.42383333,23.68941667,23.44683333,23.76258333,23.6615,23.82325,23.85716667,23.77866667,23.89691667,23.77808333,23.724,23.60258333,24.27358333,23.9275,24.07416667,23.97616667,24.6315
Fiji,25.4005,25.348,25.29633333,25.00716667,25.14875,25.716,25.86108333,25.32341667,25.86533333,25.68666667,25.83716667,25.75141667,25.71333333,25.44666667,25.50775,25.64341667,25.6315,26.05533333,25.73016667,25.22741667,25.9185,25.72283333,25.47825,25.941375
Finland,2.94325,2.32825,2.649583333,1.782916667,1.773916667,2.354083333,1.693083333,2.227583333,1.22675,2.3225,3.590666667,2.09525,2.230166667,2.499833333,2.61475,3.23025,2.892166667,3.092333333,3.200916667,2.43925,1.14375,3.541166667,1.90725,4.064125
France,14.03883333,13.1395,13.46291667,13.15016667,14.15616667,13.89975,13.01391667,14.096,13.72066667,13.90491667,13.96733333,13.6965,14.04816667,14.33791667,13.66408333,13.69425,14.14383333,13.89658333,13.5815,13.94166667,13.11541667,14.47958333,13.70716667,13.584625
France,11.80608333,10.72975,11.11191667,10.75266667,11.98975,11.57833333,10.52616667,11.8165,11.26175,11.61916667,11.73808333,11.36158333,11.7675,12.07691667,11.26633333,11.22908333,11.87125,11.57183333,11.20075,11.6075,10.53158333,12.27275,11.33175,11.19575
Gabon,24.57083333,24.56683333,24.24025,24.5445,24.64708333,24.93691667,24.46475,24.73041667,25.39483333,24.73683333,24.57241667,24.51358333,24.83391667,24.912,24.85325,24.96541667,25.15775,25.06358333,25.12791667,25.13466667,25.221,24.73091667,24.83166667,24.8385
"Gambia, The",28.13566667,28.04525,28.03433333,28.24066667,27.90408333,28.19008333,28.29875,28.35016667,28.82608333,27.7575,28.06375,28.48975,28.54791667,28.22858333,28.3725,28.605,28.17733333,28.36491667,28.34608333,27.959,28.80291667,28.2825,28.30166667,28.724375
Georgia,8.84425,8.857083333,7.390916667,7.397833333,8.718333333,9.427583333,9.117916667,8.550666667,9.85875,9.769166667,9.311166667,9.86175,9.206,8.804583333,9.218583333,9.4135,9.40375,9.525916667,9.308583333,9.552083333,11.10241667,8.52375,9.787333333,10.686625
Germany,9.6895,8.523083333,9.505833333,8.6335,9.847,9.0335,7.374416667,9.048666667,9.17175,9.62075,10.02041667,9.090416667,9.637333333,9.49425,9.053416667,9.128416667,9.706,9.9975,9.642166667,9.359166667,8.009,9.819583333,9.227166667,9.23525
Ghana,27.24475,26.96941667,26.83325,27.08891667,26.96608333,27.21225,27.13083333,27.07291667,27.6635,27.11991667,27.24591667,27.27875,27.40108333,27.5335,27.41583333,27.60116667,27.58158333,27.62766667,27.36783333,27.55758333,27.935,27.59975,27.2795,27.7175
Greece,15.49933333,14.41283333,14.78533333,15.04058333,16.04466667,15.10225,14.84675,14.76325,15.50608333,15.99216667,15.67333333,15.93158333,15.62233333,15.47258333,15.45566667,15.17533333,15.21266667,16.08325,16.05491667,15.95616667,16.37125,15.26133333,16.0395,17.1535
Grenada,27.20566667,27.14166667,27.15708333,27.34841667,27.251,27.63533333,27.28625,27.45233333,27.946,27.46391667,27.19091667,27.50716667,27.53116667,27.7165,27.47475,27.908,27.74366667,27.591,27.36366667,27.62675,28.10891667,27.66208333,27.63641667,27.612875
Guatemala,23.5995,23.87758333,23.79075,23.77633333,24.02166667,23.96066667,23.45008333,24.07683333,24.3065,23.41841667,23.42883333,23.58441667,23.83358333,23.99383333,23.79791667,23.94825,23.80825,23.8185,23.48208333,23.93991667,23.68758333,23.82083333,23.84816667,24.29133333
Guinea,26.01116667,26.05066667,25.78408333,26.02783333,25.75541667,25.94608333,26.10075,25.98566667,26.51966667,25.84191667,25.96916667,26.2885,26.51483333,26.40975,26.40416667,26.50725,26.12058333,26.31733333,26.28775,26.32566667,26.59725,26.343,26.06316667,26.68675
Guinea-Bissau,27.3635,27.35433333,27.2455,27.4525,27.18266667,27.37333333,27.493,27.436,27.97233333,27.14991667,27.28883333,27.66358333,27.79516667,27.46358333,27.63333333,27.959,27.35216667,27.51825,27.58366667,27.31041667,27.91891667,27.49108333,27.4815,27.90675
Guyana,26.56575,26.44175,26.50358333,26.31041667,26.43025,26.888,26.48758333,26.73616667,27.1385,26.42375,26.39358333,26.577,26.60808333,27.00366667,26.8715,27.06833333,26.82108333,26.70875,26.619,27.10158333,27.11608333,26.68341667,26.80016667,26.6875
Haiti,26.94291667,26.854,26.67183333,26.61958333,27.10525,27.10425,26.65608333,27.54583333,27.39541667,26.85016667,26.59858333,27.01375,27.24966667,27.33433333,27.17766667,27.18058333,27.22225,27.28825,26.92716667,27.14516667,27.00233333,26.94358333,27.04508333,27.03155556
Honduras,25.2095,25.3375,25.46158333,25.292,25.67583333,25.83216667,25.17933333,25.83966667,26.09925,25.21883333,25.15366667,25.15475,25.43258333,25.54875,25.46391667,25.62641667,25.58991667,25.38341667,25.10783333,25.51858333,25.24566667,25.47425,25.26058333,25.73233333
Hong Kong SAR,23.26058333,23.33475,22.63225,22.82825,23.23875,22.54891667,22.86683333,23.00175,23.73783333,23.3985,23.2015,23.36791667,23.59858333,23.417,23.24741667,23.05691667,23.536,23.57166667,22.90158333,23.35116667,23.14383333,22.76816667,23.217,23.690375
Hungary,10.92033333,9.680166667,10.99633333,10.12091667,11.54541667,10.30275,9.357,9.871916667,10.36183333,10.655,11.70033333,10.52375,11.43208333,10.59791667,10.3115,9.942583333,10.62908333,11.70725,11.53108333,11.38108333,10.34783333,10.877,11.29366667,12.3015
Iceland,1.77475,2.540083333,1.769083333,1.70325,1.584333333,1.06825,2.3195,2.223666667,1.60775,1.84225,2.10325,2.364916667,2.665833333,3.340833333,2.948416667,2.200333333,2.6825,2.561416667,2.312916667,2.464,2.676416667,2.315416667,2.463416667,2.92025
India,24.17816667,24.31175,24.22291667,24.40866667,24.29641667,24.42975,24.43691667,24.04733333,24.75541667,24.65983333,24.498,24.58191667,24.913,24.64991667,24.63458333,24.49541667,24.73208333,24.64991667,24.406,25.14666667,25.05083333,24.41558333,24.64083333,25.41325
Indonesia,26.23783333,26.07516667,26.17016667,26.13883333,26.08425,26.22966667,26.215,26.37191667,26.75475,26.1335,26.19025,26.32975,26.529,26.4455,26.43483333,26.45375,26.38175,26.29308333,26.06525,26.455,26.537,26.20225,26.32208333,26.467
"Iran, Islamic Rep.",18.42641667,18.02925,16.94975,17.74108333,18.386,18.40791667,18.20641667,18.30325,19.16991667,19.15791667,18.89208333,19.47383333,19.14241667,18.91516667,19.14991667,18.80666667,19.21191667,18.74041667,18.90491667,19.1095,20.09016667,18.91541667,18.95966667,20.541
Iraq,22.5415,22.28033333,20.68583333,21.90308333,22.64241667,22.431,23.01375,21.92116667,23.45541667,23.49333333,22.98883333,23.51708333,22.89558333,22.95941667,22.77891667,22.69608333,22.90433333,23.015,23.11816667,22.99808333,24.65033333,22.59325,23.42891667,24.2405
Ireland,10.31266667,9.825166667,9.789,9.641583333,9.884833333,10.51891667,9.591166667,10.6835,10.4595,10.45816667,10.13075,10.02308333,10.42066667,10.52241667,10.43908333,10.57575,10.65416667,10.84266667,10.15875,10.15725,9.258166667,10.34541667,10.03583333,9.97475
Israel,20.12983333,20.02191667,19.02866667,19.97541667,20.50033333,20.04333333,20.52808333,19.82316667,20.96641667,20.89216667,20.23041667,20.92975,20.72833333,20.614,20.4905,20.43775,20.40916667,20.70158333,20.93008333,20.83141667,22.31116667,20.33125,21.00608333,21.222375
Italy,13.71691667,12.8535,13.58175,13.40966667,14.28483333,13.23408333,13.007,13.83883333,13.66233333,13.763,14.1255,13.95425,13.934,14.29691667,13.55983333,13.02858333,13.78733333,14.07333333,13.88125,14.05291667,13.32491667,14.17316667,14.079,14.165
Jamaica,26.74025,26.68783333,26.72041667,26.523,26.911,26.89391667,26.47483333,27.19916667,27.23558333,26.53566667,26.46941667,26.70308333,27.00075,27.06583333,26.90383333,26.835,27.03416667,27.01391667,26.6215,26.86016667,26.52125,26.64058333,26.88508333,27.12533333
Japan,13.59058333,12.78316667,12.48425,12.05516667,13.22975,12.47541667,12.08283333,12.75241667,13.24475,13.08008333,12.83383333,12.45,12.83733333,12.507,13.43566667,12.55591667,12.75708333,13.19216667,12.87491667,12.93383333,13.21558333,12.73775,12.56566667,12.96475
Jordan,19.92158333,19.79175,18.60491667,19.67991667,20.26558333,19.84791667,20.422,19.48458333,20.77358333,20.62116667,20.04525,20.73083333,20.32283333,20.33141667,20.25525,20.13741667,20.17333333,20.43975,20.57275,20.4985,22.228,20.1145,20.82025,21.319125
Kazakhstan,6.55575,6.471,5.809666667,4.70225,5.5365,7.335333333,5.100833333,7.065333333,6.248916667,6.9755,6.761416667,6.813083333,7.301583333,6.131416667,7.393,6.998833333,6.869833333,7.155166667,7.028916667,6.382083333,6.71,5.69625,6.075416667,8.93725
